20220917 11:02:10,057	c_1_3038_20220917_11_02_10,057.bmp	1,405900E+0	1,353580E+0	7,518835E-3	1,476871E-2	-9,331032E-3	-1,311118E-2	1,395599E+0	1,393578E+0
20220917 11:02:16,057	c_1_3039_20220917_11_02_16,057.bmp	1,402083E+0	1,377770E+0	7,518835E-3	7,112750E-3	3,389540E-3	-5,461963E-3	1,385405E+0	1,383347E+0
20220917 11:02:22,061	c_1_3040_20220917_11_02_22,061.bmp	1,413535E+0	1,399413E+0	3,700242E-3	5,836756E-3	8,454256E-4	-8,011703E-3	1,385405E+0	1,383347E+0
20220917 11:02:28,066	c_1_3041_20220917_11_02_28,066.bmp	1,417352E+0	1,415964E+0	7,518835E-3	1,094073E-2	-1,187515E-2	-5,461963E-3	1,387954E+0	1,388463E+0
20220917 11:02:34,067	c_1_3042_20220917_11_02_34,067.bmp	1,423714E+0	1,435062E+0	1,006456E-2	9,664739E-3	-1,187515E-2	-2,912223E-3	1,387954E+0	1,385905E+0
20220917 11:02:40,070	c_1_3043_20220917_11_02_40,070.bmp	1,437710E+0	1,456705E+0	6,245971E-3	1,094073E-2	-4,242803E-3	-1,056144E-2	1,390502E+0	1,391021E+0
20220917 11:02:46,073	c_1_3044_20220917_11_02_46,073.bmp	1,447890E+0	1,478349E+0	7,518835E-3	8,388745E-3	-4,242803E-3	4,736996E-3	1,382857E+0	1,385905E+0
20220917 11:02:52,078	c_1_3045_20220917_11_02_52,078.bmp	1,458069E+0	1,497446E+0	7,518835E-3	1,094073E-2	-4,242803E-3	-8,011703E-3	1,390502E+0	1,388463E+0
20220917 11:02:58,081	c_1_3046_20220917_11_02_58,081.bmp	1,468248E+0	1,516544E+0	8,791700E-3	1,094073E-2	-6,786918E-3	-8,011703E-3	1,390502E+0	1,388463E+0
20220917 11:03:04,085	c_1_3047_20220917_11_03_04,085.bmp	1,480972E+0	1,533095E+0	7,518835E-3	1,221673E-2	-1,187515E-2	-3,624835E-4	1,398148E+0	1,385905E+0
20220917 11:03:10,089	c_1_3048_20220917_11_03_10,089.bmp	1,487334E+0	1,552192E+0	1,006456E-2	1,476871E-2	-6,786918E-3	-2,912223E-3	1,395599E+0	1,388463E+0
20220917 11:03:16,090	c_1_3049_20220917_11_03_16,090.bmp	1,497513E+0	1,572563E+0	8,791700E-3	1,094073E-2	-1,696338E-2	-3,624835E-4	1,398148E+0	1,388463E+0
20220917 11:03:22,094	c_1_3050_20220917_11_03_22,094.bmp	1,510237E+0	1,594207E+0	7,518835E-3	7,112750E-3	-1,441926E-2	2,187256E-3	1,390502E+0	1,383347E+0
